date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:52:01	83262/83262	---M-Z	200	added ('OK')	text/html	date:Sat,%2026%20Oct%202024%2012:22:04%20GMT	https://interportglobal.com/2023-holiday-list.php	C:/Users/prajw/Downloads/new%20website/interportglobal.com/2023-holiday-list.html	(from )
17:52:02	282/282	---M--	404	error ('Not%20Found')	text/html	date:Sat,%2026%20Oct%202024%2012:22:05%20GMT	https://interportglobal.com/robots.txt		(from )
17:52:03	11845/11845	---M--	200	added ('OK')	image/png	etag:%222e45-601df9ff3ba7e%22	https://interportglobal.com/new/img/logos/logo-old.png	C:/Users/prajw/Downloads/new%20website/interportglobal.com/new/img/logos/logo-old.png	(from https://interportglobal.com/2023-holiday-list.php)
17:52:03	94077/94077	---M-Z	200	added ('OK')	text/html	date:Sat,%2026%20Oct%202024%2012:22:06%20GMT	https://interportglobal.com/new/	C:/Users/prajw/Downloads/new%20website/interportglobal.com/new/index.html	(from https://interportglobal.com/2023-holiday-list.php)
17:52:03	11845/11845	---M--	200	added ('OK')	image/png	etag:%222e45-601df97f15b0c%22	https://interportglobal.com/img/logos/logo-old.png	C:/Users/prajw/Downloads/new%20website/interportglobal.com/img/logos/logo-old.png	(from https://interportglobal.com/2023-holiday-list.php)
17:52:04	779957/779957	---MCZ	200	added ('OK')	text/css	etag:%22be6b5-614b56a0ca00b-gzip%22	https://interportglobal.com/css/plugins.css	C:/Users/prajw/Downloads/new%20website/interportglobal.com/css/plugins.css	(from https://interportglobal.com/2023-holiday-list.php)
17:52:04	81088/81088	---M-Z	200	added ('OK')	text/css	etag:%2213cc0-601df94ba660c-gzip%22	https://interportglobal.com/css/styles.css	C:/Users/prajw/Downloads/new%20website/interportglobal.com/css/styles.css	(from https://interportglobal.com/2023-holiday-list.php)
17:52:04	17290/17290	---M-Z	200	added ('OK')	text/css	etag:%22438a-601df94aab606-gzip%22	https://interportglobal.com/css/custom.css	C:/Users/prajw/Downloads/new%20website/interportglobal.com/css/custom.css	(from https://interportglobal.com/2023-holiday-list.php)
17:52:04	8823/8823	---M-Z	200	added ('OK')	text/css	etag:%222277-601df94ad55f7-gzip%22	https://interportglobal.com/css/mystyle.css	C:/Users/prajw/Downloads/new%20website/interportglobal.com/css/mystyle.css	(from https://interportglobal.com/2023-holiday-list.php)
17:52:05	8997/8997	---M-Z	200	added ('OK')	text/css	etag:%222325-601df94b7f4fc-gzip%22	https://interportglobal.com/css/responsive.css	C:/Users/prajw/Downloads/new%20website/interportglobal.com/css/responsive.css	(from https://interportglobal.com/2023-holiday-list.php)
17:52:05	16789/16789	---M-Z	200	added ('OK')	text/css	etag:%224195-601df94af6945-gzip%22	https://interportglobal.com/css/new-responsive.css	C:/Users/prajw/Downloads/new%20website/interportglobal.com/css/new-responsive.css	(from https://interportglobal.com/2023-holiday-list.php)
17:52:06	9/9	---M--	403	error ('Forbidden')	text/html	date:Sat,%2026%20Oct%202024%2012:22:09%20GMT	https://kit.fontawesome.com/f70dd43e17.js	C:/Users/prajw/Downloads/new%20website/kit.fontawesome.com/f70dd43e17.9.delayed	(from https://interportglobal.com/2023-holiday-list.php)
17:52:07	85680/85680	---MC-	200	added ('OK')	text/javascript	date:Sat,%2026%20Oct%202024%2012:22:10%20GMT	https://translate.google.com/translate_a/element.js?cb=googleTranslateElementInit2	C:/Users/prajw/Downloads/new%20website/translate.google.com/translate_a/element7876.js	(from https://interportglobal.com/2023-holiday-list.php)
17:52:07	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Sat,%2026%20Oct%202024%2012:22:10%20GMT	https://www.googletagmanager.com/gtm.js?id=	C:/Users/prajw/Downloads/new%20website/www.googletagmanager.com/gtm.b5445.delayed	(from https://interportglobal.com/2023-holiday-list.php)
17:52:08	234257/234257	---M-Z	200	added ('OK')	application/x-javascript	date:Sat,%2026%20Oct%202024%2012:22:11%20GMT	https://connect.facebook.net/en_US/fbevents.js	C:/Users/prajw/Downloads/new%20website/connect.facebook.net/en_US/fbevents.js	(from https://interportglobal.com/2023-holiday-list.php)
17:52:08	95849/95849	---M-Z	200	added ('OK')	text/html	date:Sat,%2026%20Oct%202024%2012:22:11%20GMT	https://interportglobal.com/index.php	C:/Users/prajw/Downloads/new%20website/interportglobal.com/index.html	(from https://interportglobal.com/2023-holiday-list.php)
17:52:09	50389/50389	---M--	200	added ('OK')	image/png	etag:%22c4d5-614a59159ea57%22	https://interportglobal.com/img/logos/logo-w.png	C:/Users/prajw/Downloads/new%20website/interportglobal.com/img/logos/logo-w.png	(from https://interportglobal.com/2023-holiday-list.php)
17:52:09	53805/53805	---M--	200	added ('OK')	image/png	etag:%22d22d-614a5919d9c15%22	https://interportglobal.com/img/logos/logo-b.png	C:/Users/prajw/Downloads/new%20website/interportglobal.com/img/logos/logo-b.png	(from https://interportglobal.com/2023-holiday-list.php)
17:52:10	94303/94303	---M-Z	200	added ('OK')	text/html	date:Sat,%2026%20Oct%202024%2012:22:12%20GMT	https://interportglobal.com/about.php	C:/Users/prajw/Downloads/new%20website/interportglobal.com/about.html	(from https://interportglobal.com/2023-holiday-list.php)
17:52:10	63268/63268	---M-Z	200	added ('OK')	text/html	date:Sat,%2026%20Oct%202024%2012:22:13%20GMT	https://interportglobal.com/services.php	C:/Users/prajw/Downloads/new%20website/interportglobal.com/services.html	(from https://interportglobal.com/2023-holiday-list.php)
17:52:10	78587/78587	---M-Z	200	added ('OK')	text/html	date:Sat,%2026%20Oct%202024%2012:22:13%20GMT	https://interportglobal.com/freight-forwarding.php	C:/Users/prajw/Downloads/new%20website/interportglobal.com/freight-forwarding.html	(from https://interportglobal.com/2023-holiday-list.php)
17:52:11	76140/76140	---M-Z	200	added ('OK')	text/html	date:Sat,%2026%20Oct%202024%2012:22:13%20GMT	https://interportglobal.com/ocean-freight.php	C:/Users/prajw/Downloads/new%20website/interportglobal.com/ocean-freight.html	(from https://interportglobal.com/2023-holiday-list.php)
17:52:11	71953/71953	---M-Z	200	added ('OK')	text/html	date:Sat,%2026%20Oct%202024%2012:22:13%20GMT	https://interportglobal.com/air-freight.php	C:/Users/prajw/Downloads/new%20website/interportglobal.com/air-freight.html	(from https://interportglobal.com/2023-holiday-list.php)
17:52:11	71312/71312	---M-Z	200	added ('OK')	text/html	date:Sat,%2026%20Oct%202024%2012:22:14%20GMT	https://interportglobal.com/rail-freight.php	C:/Users/prajw/Downloads/new%20website/interportglobal.com/rail-freight.html	(from https://interportglobal.com/2023-holiday-list.php)
17:52:11	73039/73039	---M-Z	200	added ('OK')	text/html	date:Sat,%2026%20Oct%202024%2012:22:14%20GMT	https://interportglobal.com/road-freight.php	C:/Users/prajw/Downloads/new%20website/interportglobal.com/road-freight.html	(from https://interportglobal.com/2023-holiday-list.php)
17:52:12	69179/69179	---M-Z	200	added ('OK')	text/html	date:Sat,%2026%20Oct%202024%2012:22:14%20GMT	https://interportglobal.com/3pl-warehousing.php	C:/Users/prajw/Downloads/new%20website/interportglobal.com/3pl-warehousing.html	(from https://interportglobal.com/2023-holiday-list.php)
